ID,Restaurant Name,Image Source,Discount,Restaurant Link
34,Salad Box,https://images.deliveryhero.io/image/stores-glovo/stores/aaa96d278127658a3d0e1d7a13af182168e405a9bd483dd1ea67b9edc645a2af?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/salad-boxf/
35,Deliciul Cartofilor,https://images.deliveryhero.io/image/stores-glovo/stores/353827c18cbf474f761cbec363087ed80686ea0321908ae6937e6e919ee9238c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/deliciul-cartofilor/
36,Zucca Bistro,https://images.deliveryhero.io/image/stores-glovo/stores/ccfad3b66621923a6ad0b3a5c7f2df70fa3a0e02de878958e10a0f2d9440f40b?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/zucca-bistro/
37,Mona Pizza,https://images.deliveryhero.io/image/stores-glovo/stores/214488205fbd30e3f785a0e280e1b5aec40c45d8cc4c86a0e9196b019052fe38?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/mona-pizza-clj/
38,Lunchbox Iulius,https://images.deliveryhero.io/image/stores-glovo/stores/c0e29a9366858c8c7bef6c30c56624b9d78a475758282b86fe3d0678e24c558a?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/lunch-box-iulius-clj/
39,Subway,https://images.deliveryhero.io/image/stores-glovo/stores/e5888f85b7a3488bbabbda3e05d7a24007301d3d760e91284ce000588b49408f?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/subway-clj/
40,Lunchbox Vivo!,https://images.deliveryhero.io/image/stores-glovo/stores/be062bf14bae173f0b06ea0264b9b851ada56f08a2c8d450f4574812ec75bab5?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/lunchbox-vivo/
41,Paprika,https://images.deliveryhero.io/image/stores-glovo/stores/8d51664c1d33dac559ff83e88bbc9bb78613d749e7a42b594d648e6e8c28fac9?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/paprikaclj/
42,Apropo Bistro,https://images.deliveryhero.io/image/stores-glovo/stores/d2b0221f2232481bd361b4e2248c7baa10aa3bd0a8857d429f0420365bbae5ff?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,1+1,https://glovoapp.com/ro/ro/cluj-napoca/apropo-bistro-clj/
43,Bistro Engels,https://images.deliveryhero.io/image/stores-glovo/stores/3dbcef231534468ffa2babc34ed425287052f10a8aacb9a343efcb22041beabf?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/bistro-engels/
44,Magic Sushi,https://images.deliveryhero.io/image/stores-glovo/stores/7c7337bba3382c492ea384b132866ed757e7094e49b470b18fbe9ba2a8969f2e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/magic-sushi/
